Field,Question_1,Answer_1,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6,Question_7,Answer_7,Question_8,Answer_8,Question_9,Answer_9,Question_10,Answer_10
Accounts Payable Clerk,1. Describe a time when you resolved a discrepancy. How did you discover the problem? How did you resolve it?,Tests research skills.,2. How have you used software in the accounting? Which applications have you worked with?,Demonstrates computer skills.,3. You discover that the company has a delinquent account. How do you fix it?,Tests problem solving skills.,"4. What is more important in this position, accuracy or efficiency? Why? How do you balance the two?",Demonstrates how candidate approaches the job.,5. What documents do you expect to work with in this role? How have you worked with them in the past?,Tests job knowledge.,,,,,,,,,,
Accounts Payable Specialist,1. Can you explain your approach to monitoring petty cash spending?,Demonstrates the candidates knowledge and experience in keeping track of routine expenses.,2. What may inexperienced accountants overlook with account reconciliation?,Evaluates the candidates knowledge and their ability to apply account reconciliation theory to practice.,3. Can you tell me about your experience with accounting software?,Highlights the candidates experience and competency in industry-related software.,4. Which procedures work best to gather information from cost centers?,Assesses the candidates experience in charging expenses and their ability to establish effective communication channels and procedures.,5. Can you describe a challenging accounts payable issue you resolved?,"Reveals the candidates accounts payable knowledge and experience, as well as their problem-solving skills.",,,,,,,,,,
Asset Manager,1. What are some of the challenges currently faced by the asset management industry? How can they be overcome?,This demonstrates the candidates analytical thinking and problem-solving skills.,2. Can you describe an experience when you had to negotiate favorable terms for a client?,This reveals the candidates interpersonal and negotiation skills.,3. Please describe your financial background. What would you say are your strongest qualities?,This shows the candidates self-awareness and relevant work experience.,4. What method do you use to eliminate errors in your work?,This reveals the candidates attention to detail and efficiency.,5. How do you monitor asset performance and market trends?,This reveals the candidates working methods and organizational skills.,,,,,,,,,,
Assistant Controller,1. Can you give an example of how you would improve accounting processes?,This reveals the candidates analytical and solution-oriented thinking. This also reveals previous experience in improving efficiency.,2. How do you monitor different accounting functions?,This illustrates the candidates aptitude for a supervisory role.,"3. If you suspect that one of your employees is taking short cuts and compromising financial accuracy, how would you approach the issue?",This demonstrates the candidates management and interpersonal skills.,4. What accounting software programs are you familiar with?,This reveals the candidates experience and knowledge of relevant software applications.,5. What experience do you have in establishing internal controls?,This reveals the candidates work experience.,,,,,,,,,,
Audit Associate,1. What skills do you think Audit Associates need to be successful?,Tests the candidate’s understanding of the role and highlights pertinent skills.,2.How do you go about organizing you daily workload and managing your time?,Demonstrates the candidate’s project and time management skills.,3. What experience do you have writing and presenting financial reports?,Tests the candidates level of experience and highlights their communication skills.,4. How would you proceed if you found found irregularities with the financial statements?,Test the candidate’s problem-solving skills and ability to follow correct auditing procedures in a high-pressure situation.,5. Describe a time you made a mistake with an audit. What did you learn from it?,Reveals honesty and relevant experience with auditing procedures.,,,,,,,,,,
Audit Manager,1. How do you handle a situation where you have to audit a department where the employees are unhelpful and deadlines are delayed?,Demonstrates communication and problem-solving skills.,2. How have you worked with co-workers at a lower and higher level than you?,Demonstrates ability to maintain a good relationship with co-workers at lower and higher levels.,3. How would you deal with an investigation of a fellow accountant or auditing co-worker?,Demonstrates ability to be impartial and confidential.,4. Which online tools and accounting software are you familiar with?,Demonstrates knowledge of accounting tools.,5. Can you tell us about an inefficiency you have encountered during an audit?,"Reveals experience, analytical, and problem-solving skills.",,,,,,,,,,
Auditor,"1. In your opinion, why is it important for a company to employ an Auditor?","Demonstrates candidates understanding of the role, their critical thinking skills, and their confidence in their own abilities.",2. What is your typical auditing process?,Illustrates candidates work experience as well as their industry knowledge.,3. What methods do you use to reduce errors in your audits?,"Showcases candidates attention to detail and problem-solving skills, as well as their willingness to learn new techniques.",4. How would you approach giving difficult feedback to a client?,"Illustrates candidates communication, interpersonal, and customer service skills.",5. What auditing software do you find the most effective to work with?,Demonstrates candidates software expertise and how they use technology to supplement their skills.,,,,,,,,,,
Billing Analyst,1. What is your method for keeping track of and dealing with outstanding payments?,This reveals the candidates experience and organizational skills.,2. How do you ensure billing accuracy?,This shows the candidates working methods and attention to detail.,3. How do you prioritize your work to meet deadlines?,This demonstrates the candidates commitment to efficiency and time management skills.,4. Can you describe how you would adjust billing processes to increase efficiency?,This reveals the candidates critical thinking skills.,5. What accounting software programs would you recommend for billing operations?,This shows the candidates knowledge of relevant software programs.,,,,,,,,,,
Billing Clerk,1. What experience do you have as a billing clerk or in a similar role?,This reveals the candidates level of experience.,2. How do you go about resolving an invoice discrepancy?,This tests the candidates working methods and problem-solving abilities.,3. To what degree are you familiar with accounting software programs?,This reveals the candidates knowledge of and experience with accounting related software programs.,4. How do you keep track of payments?,This reveals the candidates organizational skills.,5. How efficiently do you work under pressure?,This reveals the candidates attention to detail in stressful situations.,,,,,,,,,,
Billing Coordinator,1. How do you keep track of open tasks?,Reveals the candidates organizational and multitasking skills.,2. How do you handle clients who contest invoices?,Illustrates the candidates customer service and problem-solving skills.,3. How do you ensure the accuracy of billing information?,Reveals the candidates work experience and attention to detail.,4. What is the most challenging aspect of being a Billing Coordinator?,Reveals the candidates training and work experience.,5. How do you deal with uncooperative colleagues?,Shows the candidates interpersonal and people management skills.,,,,,,,,,,
Billing Specialist,1. Describe a time when you resolved a discrepancy. How did you discover the problem? How did you resolve it?,Tests research skills.,2. How have you used software in accounting? Which applications have you worked with?,Demonstrates computer skills.,3. You discover that the company has a delinquent account. How do you fix it?,Tests problem-solving skills.,"4. What is more important in this position, accuracy or efficiency? Why? How do you balance the two?",Demonstrates how the candidate approaches the job.,5. What documents do you expect to work with in this role? How have you worked with them in the past?,Tests job knowledge.,,,,,,,,,,
Bookkeeper,1. What bookkeeping software have you worked with?,Demonstrates computer skills.,2. Describe a time when you successfully resolved an accounting error. How did you find and fix the problem?,Tests problem-solving skills.,"3. How do you maintain a high level of efficiency without sacrificing accuracy, especially when working with deadlines? Support your answer with experiences.",Reveals more about work history.,4. Have you ever improved a process at work? What impact did it have?,Shows ability to analyze.,5. What are the three main financial reports? How do you prepare them?,Tests accounting skills.,,,,,,,,,,
Budget Analyst,1. Describe how you would carry out a cost-benefit analysis. What are the most important steps?,"Candidates should note that one of the most important parts of a cost-benefit analysis, for example, is the ability to remain objective with numbers and not be swayed by emotion.",2. How do you manage decision-making under stress?,Cutting spending can result in a loss of jobs or be the difference between a companys continued existence and bankruptcy. Budget Analysts need to make important decisions under immense stress. Candidates should express the importance of having tunnel-vision when working with numbers and always maintain their competency and professionalism.,3. What has been your greatest success as a Budget Analyst?,This gives candidates an opportunity to express their number-crunching talent. Look for out stories where candidates used creative ways to reduce spending or managed to secure a large funding allowance through persuasive communication.,4. What is the most important skill when presenting a budget recommendation?,Budget Analysts will be required to present budget recommendations to multi-disciplinary audiences. Candidates should acknowledge the importance of communicating to a heterogeneous body in a way that makes the message clear to all of them.,5. Describe a time when you erred with a budget analysis. How did you rectify your mistake?,"Candidates should acknowledge that their mistakes could have severe consequences for company finances. Look for stories where a mistake was made, the error was rectified and a lesson was learned about the significance of diligence.",,,,,,,,,,
Chartered Accountant,1. How do you plan to lead your team of accountants?,Highlights the candidates leadership and management skills.,2. What is your area of specialization?,Demonstrates the candidates suitability for the role.,3. What accounting system do you plan to implement?,Demonstrates job knowledge and experience.,4. Can you briefly explain your experience after you served articles?,Demonstrates the candidates experience and competency.,5. How do you plan to keep the organization compliant with the state revenue service?,The candidate should display knowledge of filing corporate tax returns and implementing compliance at all levels of the accountancy spectrum.,,,,,,,,,,
Comptroller,1. Could you tell me how QuickBooks and Salesforce have benefited you in previous positions?,"The potential hires answer will demonstrate their experience with these applications, and will reveal more background regarding their experience.","2. Do you have the ability to meet deadlines, and why would you say so?",Listen carefully for the candidate to convince you of their ability to meet deadlines.,3. Could you give me examples from past experience where you proved to be detail-oriented?,The candidates answer will show their ability to pay attention to detail—a quality that ensures Controllers save companies time and money.,4. How would you ensure our companys compliance with statutory requirements?,The potential hire will demonstrate their knowledge of applicable laws and regulations in their answer.,5. What role did you play in saving your previous employer costs?,The candidates answer will display their ability to save your company costs.,,,,,,,,,,
Controller,1. How do you prepare the department for major projects? How do you balance the project with daily tasks?,Shows planning skills.,2. Describe some of the controls you’ve implemented. What impact did they have?,Tests ability to improve processes.,3. An executive wants to make a financial move you didn’t agree with. How do you handle this?,Demonstrates communication skills.,4. You receive confidential information that greatly impacts your team. What do you do with it? Why?,Shows candidate is trustworthy.,5. What has been your greatest accomplishment? Greatest challenge?,Reveals more about work history.,,,,,,,,,,
Corporate Controller,1. How would you ensure that reporting cycle deadlines are met?,Tests the candidates managerial experience and their ability to guide staff to meet objectives.,2. Which aspects do you assess to measure profit center performance?,"Evaluates the candidates knowledge of performance management, as well as their ability to enhance financial operations and increase profitability.","3. In your experience, which internal controls do you deem crucial?","Assesses the candidates knowledge and experience, as well as their ability to promote and enforce integrity and accountability in financial management.",4. Which financial management software do you prefer? Why?,Reveals the candidates experience and competency in industry-related software.,5. Can you tell me about your approach to preparing an annual budget?,"Demonstrates the candidates knowledge and experience, as well as their ability to consider relevant internal and external factors.",,,,,,,,,,
Cost Accountant,3. Can you describe an occasion when you overcame a difficult challenge in order to facilitate a cost-efficient process?,This question illustrates the candidate’s emphasis on attention to detail.,4. What criteria do you use when making recommendations on cost-saving measures?,This question illustrates the candidate’s organizational ability.,,,,,,,,,,,,,,,,
CPA,1. How do you ensure you stay up-to-date with the latest tax law changes?,Tests the candidate’s ability to stay informed on tax laws and regulations.,2. What accounting software programmes do you find most effective and why?,Highlights the candidate’s knowledge of accounting software.,3. What financial data do you need to develop an annual tax return forecast?,Reveals the candidate’s previous educational background.,"4. You have to present a complex financial report to a non-financial audience, how would you ensure they understand your findings?",Tests the candidate’s communication skills.,5. Can you describe your method for checking datasheets for accuracy?,Highlights the candidate’s analytical abilities and attention to detail.,,,,,,,,,,
Credit Controller,1. Why is a Credit Controller an important part of a company?,Demonstrates the candidate’s understanding of their role and what is required of them.,2. How do you distance yourself from personal feelings when evaluating credit requests?,Demonstrates the ability to follow standard procedures and act impartially.,3. What strategies do you use to negotiate with a difficult or rude client?,Demonstrates the candidate’s interpersonal skills.,4. How do you deal with clients who refuse to pay?,Highlights the negotiating skills of the candidate and their ability to follow company procedures.,5. What systems have you put in place in your previous work to maximize company profits?,Demonstrates the extent of the candidate’s skills and abilities.,,,,,,,,,,
Entry Level Accountant,1. What are your strengths and weaknesses?,Reveals abilities and attributes.,2. Can you provide an example of a time when you handled a tough deadline?,,3. What is your familiarity with SFAS (Statement of Financial Accounting Standards)?,,4. How do you avoid errors?,Demonstrates candidates attention to detail.,5. What considerations do you make before updating a journal entry?,Tests knowledge of accounting principles and practices.,,,,,,,,,,
External Auditor,1. What challenges do you see affecting the accounting industry in the future? How will this impact External Auditors?,Reveals industry knowledge and insight.,2. How do you ensure accuracy?,Demonstrates attention to detail and ability to rectify mistakes.,3. How do you deal with negative feedback?,Demonstrates the candidates attitude and response to negative feedback.,4. Which online tools or accounting software are you familiar with?,Determines proficiency in accounting tools and software.,5. What is the most challenging aspect of being an External Auditor?,Reveals candidates ability to manage stressful situations in this position.,,,,,,,,,,
Finance Associate,1. Can you explain your steps in preparing tax information?,Demonstrates the candidates knowledge of tax calculations and their ability to make suitable contributions.,2. What is your approach to reconciling account information?,Highlights the candidates knowledge and experience in analyzing data and their ability to prevent accounting discrepancies.,3. Tell me about a time when you guided staff on financial regulation compliance?,"Reveals the candidates knowledge of fiscal policies, standards, and industry regulations, as well as their ability to promote best practices.",4. Which financial software do you recommend using? Why?,Evaluates the candidates experience and proficiency in financial software.,5. Can you describe a complex financial procedure you successfully performed?,"Assesses the candidates procedural knowledge and experience, as well as their analytical and problem-solving skills.",,,,,,,,,,
Finance Director,1. How do you keep up to date with changes in financial sector trends?,Look for candidates that subscribe to various finance publications. Candidates should also demonstrate research capabilities and a willingness to constantly improve and update their financial knowledge.,"2. What size budgets have you worked with, and what do you find challenging about budgeting?",Look for candidates that demonstrate good budgeting experience. Candidates should also highlight challenges and problem-solving skills.,3. What are the key elements to successful financial planning and budgeting?,,4. What measures do you use to assess an organizations financial performance?,,5. How do you ensure that regulations and policies are fully complied with by the finance department?,Look for candidates that demonstrate extensive understanding of accounting and finance regulations. Candidate should also demonstrate an ability to monitor and guide accounting personnel.,,,,,,,,,,
Financial Accountant,5. What is your opinion on recent updates of accounting standards?,Tests understanding of fraudulent behavior and knowledge of monitoring tools.,,,,,,,,,,,,,,,,,,
Financial Administrator,1. Can you explain your approach to projecting returns on investment?,Assesses the candidates knowledge and experience in financial forecasting.,2. Which accounting software do you recommend? Why?,Reveals the candidates experience and proficiency in industry-related software.,3. Can you describe your steps to performing liquidity analysis?,Evaluates the candidates knowledge and their ability to assess financial risks.,4. Which methods would you implement to track expenses?,Demonstrates the candidates experience in tracking expenses and their ability to establish effective procedures.,5. Can you tell me about a major success you had with cost control?,"Highlights the candidates knowledge and experience, as well as their ability to implement effective cost control measures.",,,,,,,,,,
Financial Controller,1. How do you monitor and measure financial performance?,Look for candidates that employ good finance monitoring techniques. Candidates should also demonstrate good analytical skills.,2. How would you apply cost-reduction strategies while maintaining organizational efficiency and good service to clients?,Look for candidates that demonstrate good strategic thinking skills without compromising overall business objectives.,3. Which financial software do you normally use?,"Look for candidates that use the same or similar software to your organization. Also, candidates should demonstrate proficiency in working with different software programs.",4. What are the key elements to successful financial planning and budgeting?,"Look for candidates that demonstrate an ability to prioritize activities that support overall business goals. Also, candidates should demonstrate their talent for crunching numbers.",5. How do you balance conflicting interests in organizational finances?,"Look for candidates that demonstrate diplomacy and conflict resolution skills. Also, candidates should demonstrate an ability to balance departmental needs against overall organizational needs.",,,,,,,,,,
Financial Coordinator,1. What are the three most challenging issues you resolved in previous positions?,"The prospective hire’s answer will show their problem-solving skills, which is an essential attribute to have as a Financial Coordinator.",2. How do you maintain confidentiality of information?,"A Financial Coordinator works with confidential information, therefore the applicant needs to display their effectiveness in protecting this information.","3. Are you confident with handling cash, and why would you say so?",Listen for the applicant to demonstrate confidence in handling cash.,"4. Would you say you are a people person, and why?",A Financial Coordinator handles inquiries and spends a lot of time communicating with various parties. The candidate needs to convince you of their people skills in this answer.,5. Could you tell me about your organizational skills?,"The prospective hires answer should convince you of their organizational abilities, which will ensure success in this position.",,,,,,,,,,
Full Charge Bookkeeper,1. What skills do you think Full Charge Bookkeepers need to be successful?,Reveals an understanding of the Bookkeeper position and highlights the candidate’s skill set.,2. How do you manage your workload to ensure accounts are prepared on time?,Demonstrates the candidate’s organizational skills.,3. What do you think is the most difficult part of being a Full Charge Bookkeeper?,Highlights areas of expertise and reveals gaps in knowledge.,4. Have you ever encountered a problem balancing companys books?,Reveals honesty and highlights the candidate’s problem-solving skills.,5. Can you tell me more about your previous experience working as a Full Charge Bookkeeper?,Highlights the skills and work experience of the candidate.,,,,,,,,,,
GL Accountant,1. Can you explain your approach to auditing financial data for accuracy?,Demonstrates the candidates knowledge and experience in analyzing data for accuracy and truthfulness.,2. What are your recommendations to ensure compliance in regulations?,Reveals the candidates knowledge of industry regulations and their ability to achieve compliance.,3. Can you tell me about your experience with accounting software?,Evaluates the candidates experience and proficiency in industry-related software.,4. Which procedures work best to receive pertinent information from other departments?,Highlights the candidates experience and their ability to establish effective inter-departmental communication channels.,5. Can you describe a challenging GL accounting issue you resolved?,"Assesses the candidates knowledge and experience in GL accounting, as well as their problem-solving skills.",,,,,,,,,,
Internal Auditor,1. How have your problem solving skills led to finding solutions to inaccurate processes?,This question illustrates the candidate’s problem solving ability.,2. What procedure would you follow in a financial feasibility analysis?,This question indicates the candidate’s organizational ability.,3. What criteria do you use to identify incorrect operating practices?,This question indicates the candidate’s ability to identify correct practices.,4. What methods do you use to minimize risk?,This illustrates the candidate’s ability to identify risk and counteract it effectively.,5. What process do you follow when you detect fraud?,This indicates the candidate’s ability to effectively identify and address fraudulent activity.,,,,,,,,,,
Invoice Processor,5. Can you describe your experience with invoicing software?,Evaluates the candidates knowledge and their overall suitability for the role.,,,,,,,,,,,,,,,,,,
Junior Accountant,3. What is the biggest challenge in daily reconciliation of transactions?,This question tests the candidate’s attention to detail.,4. How do you ensure that your decisions are congruent to Generally Accepted Accounting Principles (GAAP)?,This question illustrates the candidate’s organizational ability.,,,,,,,,,,,,,,,,
Management Accountant,1. Can you explain your approach to forecasting income and expenditure?,"Demonstrates the candidates knowledge of key management accounting skills, as well as their approach to preparing financial forecasts.",2. Which software do you recommend for management accounting? Why?,Evaluates the candidates experience and proficiency in financial and business management software.,3. What are your steps to ensure compliance with financial regulations?,Highlights the candidates knowledge of financial regulations and their ability to promote compliance within a business.,4. Which procedures do you follow to manage junior staff?,Reveals the candidates knowledge of staff performance metrics and their ability to train and support junior accounting staff.,5. Can you describe a  time when your input mitigated a serious financial risk?,"Assesses the candidates knowledge and experience in financial risk management, as well as their ability to take proactive steps to limit losses.",,,,,,,,,,
Payroll Accountant,1. Can you describe payroll procedures that junior staff may overlook?,Demonstrates the candidates experience and reveals their potential to train others.,2. How would you typically go about keeping track of overtime earnings?,Tests the candidates knowledge and their ability to perform routine recordkeeping tasks.,3. Can you share some of your tips to prepare an internal payroll report?,Evaluates the candidates knowledge and experience in payroll reporting.,"4. In your experience, which payroll processing software works the best, and why?",Highlights the candidates experience and their knowledge of industry software.,5. Can you tell me about a time when you handled a challenging payroll query?,"Reveals the candidates experience, as well as their problem-solving and communication skills.",,,,,,,,,,
Payroll Administrator,1. Can you describe the software applications you use to track hours worked and process payroll?,Demonstrates the candidates proficiency in software programs used for payroll processing.,2. An employee claims that he received incorrect wages. What do you do?,Shows how the candidate resolves discrepancies and deals with complaints.,3. How do you ensure the accuracy and timely completion of your work?,Reveals the candidates organizational skills and attention to detail.,4. What is your method for dealing with incomplete or late timesheet submissions?,Shows the candidates experience and problem-solving skills.,5. How do you keep track of changes in local laws and IRS regulations?,Illustrates the candidates experience and knowledge regarding legal regulations and their willingness to stay abreast of changes.,,,,,,,,,,
Payroll Clerk,1. Which payroll systems are you familiar with?,Reveals the candidates training and work experience.,2. What employee information is typically collected to add a new employee to payroll?,Reveals the candidates specific knowledge of payroll processing.,3. How do you avoid errors in your work?,Demonstrates the candidates attention to detail.,4. Can you describe how you would deliver bad news to an employee?,Illustrates the candidates interpersonal and communication skills.,5. How do you overcome common payroll errors?,Reveals the candidates work experience and problem-solving skills.,,,,,,,,,,
Payroll Coordinator,1. How do you go about resolving payroll issues?,Gives a general impression of the candidates ability to investigate and solve problems.,2. How do you ensure that employee and payroll information is accurate and up-to-date?,"Shows how the candidate organizes his/her work, how he/she reviews documentation and maintains strong attention to detail.",3. Have you ever had to deal with an angry employee questioning your wage calculations?,Demonstrates people skills and the ability to remain calm while resolving payroll issues or queries.,4. How do you keep your knowledge of payroll practices and relevant legal regulations up-to-date?,Shows the candidates commitment to their profession and the ability to stay abreast of industry knowledge and regulatory changes.,5. What payroll software programs are you familiar with?,Reveals the candidates work experience and familiarity with payroll systems.,,,,,,,,,,
Payroll Manager,"1. Can you describe your managerial experience in payroll, accounting, finance, or a similar environment?",Shows work experience and the candidates management and supervisory skills.,2. How do you handle conflict within the team you supervise?,Demonstrates the candidates ability to effectively manage a team and resolve conflicts.,3. How do you ensure that all payroll documents and processes comply with company policies and legal regulations?,Reveals work experience and the ability to ensure compliance with regulatory standards.,4. What is your method for maintaining accurate records?,Demonstrates the candidates organizational skills and attention to detail.,5. How do you deal with account discrepancies?,Reveals analytical and problem-solving skills.,,,,,,,,,,
Payroll Officer,1. What skills do you have that make you a good Payroll Officer?,Tests candidate’s understanding of the role and highlights pertinent skills.,2. How do you ensure timesheets match the hours reflected on the payroll software?,Tests the candidate’s knowledge of standard accounting procedures.,3. What would you do if you found inconsistencies with company payroll information?,Demonstrates the candidate’s problem-solving skills.,4. How do prioritize your daily tasks to ensure maximum efficiency?,Demonstrates the candidate’s organization and time management skills.,5. How would you explain complex taxation information to a new employee?,Highlights the candidate’s communication and interpersonal skills.,,,,,,,,,,
Payroll Specialist,1. How do you ensure absolute accuracy when performing payroll tasks?,Demonstrates the ability to maintain strong attention to detail.,2. How do you verify employee data and working hours?,"Shows work experience, organizational, and communication skills.",3. Can you describe the experience you have working with different types of software in payroll?,"Reveals the candidates familiarity with data entry, accounting, and payroll software programs.","4. How do you maintain current knowledge of payroll practices, employee benefits, and tax regulations?","Demonstrates how the candidate maintains a good working knowledge of relevant processes, standards, and regulations.",5. What are the common mistakes that can occur during payroll processing?,Reveals work experience and how the candidate avoids making common mistakes.,,,,,,,,,,
